EVENT_NUMBER,SEASON,START_DATE,END_DATE,ASSOCIATED_SIDS,ASSOCIATED_NAMES,CONSECUTIVE,NUM_CLAIMS
1,2000,2000-08-06 00:00:00+00:00,2000-08-13 00:00:00+00:00,2000222N28286,UNNAMED,0,33
2,2000,2000-09-14 00:00:00+00:00,2000-09-27 00:00:00+00:00,"2000259N20273,2000260N15308","GORDON,HELENE",1,788
3,2000,2000-10-01 00:00:00+00:00,2000-10-08 00:00:00+00:00,2000279N29279,LESLIE,0,12166
4,2001,2001-06-08 00:00:00+00:00,2001-06-20 00:00:00+00:00,2001157N28265,ALLISON,0,782
5,2001,2001-08-02 00:00:00+00:00,2001-08-10 00:00:00+00:00,2001215N26275,BARRY,0,344
6,2001,2001-09-11 00:00:00+00:00,2001-09-18 00:00:00+00:00,2001255N26276,GABRIELLE,0,3493
7,2002,2002-07-11 00:00:00+00:00,2002-07-18 00:00:00+00:00,2002196N34283,ARTHUR,0,67
8,2002,2002-08-01 00:00:00+00:00,2002-08-09 00:00:00+00:00,2002217N29272,BERTHA,0,31
9,2002,2002-08-29 00:00:00+00:00,2002-09-18 00:00:00+00:00,"2002245N29281,2002252N29289,2002255N26273","EDOUARD,GUSTAV,HANNA",1,225
10,2002,2002-09-23 00:00:00+00:00,2002-09-30 00:00:00+00:00,2002258N10300,ISIDORE,0,1986
11,2002,2002-10-01 00:00:00+00:00,2002-10-15 00:00:00+00:00,"2002264N28308,2002265N10315","KYLE,LILI",1,265
12,2003,2003-06-27 00:00:00+00:00,2003-07-05 00:00:00+00:00,2003179N20271,BILL,0,195
13,2003,2003-07-22 00:00:00+00:00,2003-07-29 00:00:00+00:00,2003207N29280,UNNAMED,0,76
14,2003,2003-08-11 00:00:00+00:00,2003-08-17 00:00:00+00:00,2003227N26277,ERIKA,0,116
15,2003,2003-09-02 00:00:00+00:00,2003-09-10 00:00:00+00:00,2003247N27272,HENRI,0,70
16,2003,2003-09-15 00:00:00+00:00,2003-09-22 00:00:00+00:00,2003249N14329,ISABEL,0,6537
17,2004,2004-07-29 00:00:00+00:00,2004-08-07 00:00:00+00:00,2004214N30282,ALEX,0,681
18,2004,2004-08-09 00:00:00+00:00,2004-08-18 00:00:00+00:00,"2004217N13306,2004223N11301","BONNIE,CHARLEY",1,6281
19,2004,2004-08-24 00:00:00+00:00,2004-09-12 00:00:00+00:00,"2004238N11325,2004241N32282","FRANCES,GASTON",1,9189
20,2004,2004-09-12 00:00:00+00:00,2004-10-02 00:00:00+00:00,"2004247N10332,2004258N16300","IVAN,JEANNE",1,27503
21,2004,2004-10-07 00:00:00+00:00,2004-10-14 00:00:00+00:00,2004283N24265,MATTHEW,0,41
22,2005,2005-06-08 00:00:00+00:00,2005-06-15 00:00:00+00:00,2005160N17276,ARLENE,0,152
23,2005,2005-07-03 00:00:00+00:00,2005-07-15 00:00:00+00:00,"2005185N18273,2005186N12299","CINDY,DENNIS",1,5493
24,2005,2005-08-22 00:00:00+00:00,2005-09-02 00:00:00+00:00,2005236N23285,KATRINA,0,27870
25,2005,2005-09-03 00:00:00+00:00,2005-09-24 00:00:00+00:00,"2005249N26281,2005261N21290","OPHELIA,RITA",1,2118
26,2005,2005-10-02 00:00:00+00:00,2005-10-09 00:00:00+00:00,2005278N27280,TAMMY,0,579
27,2005,2005-10-21 00:00:00+00:00,2005-10-27 00:00:00+00:00,2005289N18282,WILMA,0,17017
28,2006,2006-06-09 00:00:00+00:00,2006-06-17 00:00:00+00:00,2006161N20275,ALBERTO,0,392
29,2006,2006-07-16 00:00:00+00:00,2006-07-22 00:00:00+00:00,2006200N32287,BERYL,0,29
30,2006,2006-08-03 00:00:00+00:00,2006-08-09 00:00:00+00:00,2006213N16302,CHRIS,0,12
31,2006,2006-08-26 00:00:00+00:00,2006-09-05 00:00:00+00:00,2006237N13298,ERNESTO,0,819
32,2007,2007-05-03 00:00:00+00:00,2007-05-15 00:00:00+00:00,2007127N36286,ANDREA,0,38
33,2007,2007-05-30 00:00:00+00:00,2007-06-07 00:00:00+00:00,2007151N18273,BARRY,0,75
34,2007,2007-09-06 00:00:00+00:00,2007-09-17 00:00:00+00:00,"2007251N30288,2007255N27265","GABRIELLE,HUMBERTO",1,49
35,2007,2007-09-18 00:00:00+00:00,2007-09-25 00:00:00+00:00,2007265N29275,UNNAMED,0,28
36,2008,2008-07-16 00:00:00+00:00,2008-07-24 00:00:00+00:00,2008201N32280,CRISTOBAL,0,38
37,2008,2008-08-15 00:00:00+00:00,2008-09-09 00:00:00+00:00,"2008229N18293,2008238N13293,2008241N19303","FAY,GUSTAV,HANNA",1,4700
38,2008,2008-11-11 00:00:00+00:00,2008-11-17 00:00:00+00:00,2008311N14278,PALOMA,0,14
39,2009,2009-05-24 00:00:00+00:00,2009-05-31 00:00:00+00:00,2009147N31285,UNNAMED,0,109
40,2009,2009-08-13 00:00:00+00:00,2009-08-20 00:00:00+00:00,2009228N27277,CLAUDETTE,0,86
41,2009,2009-11-06 00:00:00+00:00,2009-11-14 00:00:00+00:00,2009308N11279,IDA,0,610
42,2010,2010-07-20 00:00:00+00:00,2010-07-28 00:00:00+00:00,2010203N22286,BONNIE,0,54
43,2010,2010-08-07 00:00:00+00:00,2010-08-20 00:00:00+00:00,2010222N26277,UNNAMED,0,110
44,2010,2010-08-31 00:00:00+00:00,2010-09-06 00:00:00+00:00,2010236N12341,EARL,0,178
45,2010,2010-09-26 00:00:00+00:00,2010-10-03 00:00:00+00:00,2010271N19276,NICOLE,0,1027
46,2010,2010-10-11 00:00:00+00:00,2010-10-18 00:00:00+00:00,2010284N14278,PAULA,0,13
47,2011,2011-07-13 00:00:00+00:00,2011-07-20 00:00:00+00:00,2011197N31280,BRET,0,51
48,2011,2011-08-03 00:00:00+00:00,2011-08-10 00:00:00+00:00,2011214N15299,EMILY,0,117
49,2011,2011-08-24 00:00:00+00:00,2011-08-31 00:00:00+00:00,2011233N15301,IRENE,0,9362
50,2011,2011-09-01 00:00:00+00:00,2011-09-09 00:00:00+00:00,2011245N27269,LEE,0,365
51,2012,2012-05-16 00:00:00+00:00,2012-06-03 00:00:00+00:00,"2012140N33283,2012147N30284","ALBERTO,BERYL",1,224
52,2012,2012-06-21 00:00:00+00:00,2012-06-30 00:00:00+00:00,2012176N26272,DEBBY,0,2564
53,2012,2012-08-23 00:00:00+00:00,2012-09-02 00:00:00+00:00,2012234N16315,ISAAC,0,2779
54,2013,2013-06-03 00:00:00+00:00,2013-06-11 00:00:00+00:00,2013157N25273,ANDREA,0,528
55,2013,2013-07-29 00:00:00+00:00,2013-08-06 00:00:00+00:00,2013204N11340,DORIAN,0,80
56,2014,2014-06-25 00:00:00+00:00,2014-07-07 00:00:00+00:00,2014180N32282,ARTHUR,0,294
57,2015,2015-05-03 00:00:00+00:00,2015-05-15 00:00:00+00:00,2015126N27281,ANA,0,32
58,2015,2015-06-17 00:00:00+00:00,2015-06-23 00:00:00+00:00,2015167N27266,BILL,0,8
59,2015,2015-07-09 00:00:00+00:00,2015-07-15 00:00:00+00:00,2015193N35285,CLAUDETTE,0,13
60,2016,2016-05-25 00:00:00+00:00,2016-06-10 00:00:00+00:00,"2016148N27288,2016158N22272","BONNIE,COLIN",1,170
61,2016,2016-08-25 00:00:00+00:00,2016-09-06 00:00:00+00:00,"2016240N31295,2016242N24279","UNNAMED,HERMINE",1,2676
62,2016,2016-09-10 00:00:00+00:00,2016-09-24 00:00:00+00:00,2016257N27280,JULIA,0,329
63,2016,2016-10-03 00:00:00+00:00,2016-10-12 00:00:00+00:00,2016273N13300,MATTHEW,0,19317
64,2017,2017-06-20 00:00:00+00:00,2017-06-27 00:00:00+00:00,2017171N24271,CINDY,0,148
65,2017,2017-07-27 00:00:00+00:00,2017-08-04 00:00:00+00:00,2017212N28275,EMILY,0,145
66,2017,2017-08-24 00:00:00+00:00,2017-09-04 00:00:00+00:00,"2017228N14314,2017240N31279","HARVEY,UNNAMED",1,957
67,2017,2017-09-06 00:00:00+00:00,2017-09-16 00:00:00+00:00,2017242N16333,IRMA,0,33575
68,2017,2017-10-04 00:00:00+00:00,2017-10-12 00:00:00+00:00,2017277N11279,NATE,0,583
69,2018,2018-05-24 00:00:00+00:00,2018-06-02 00:00:00+00:00,2018146N19273,ALBERTO,0,69
70,2018,2018-07-05 00:00:00+00:00,2018-07-11 00:00:00+00:00,2018186N31292,CHRIS,0,44
71,2018,2018-08-31 00:00:00+00:00,2018-09-20 00:00:00+00:00,"2018242N13343,2018246N22283","FLORENCE,GORDON",1,16339
72,2018,2018-10-07 00:00:00+00:00,2018-10-15 00:00:00+00:00,2018280N18273,MICHAEL,0,5037
73,2019,2019-07-07 00:00:00+00:00,2019-07-13 00:00:00+00:00,2019192N29274,BARRY,0,94
74,2019,2019-07-19 00:00:00+00:00,2019-07-26 00:00:00+00:00,2019204N25283,UNNAMED,0,29
75,2019,2019-08-30 00:00:00+00:00,2019-09-09 00:00:00+00:00,2019236N10314,DORIAN,0,1463
76,2019,2019-10-05 00:00:00+00:00,2019-10-11 00:00:00+00:00,2019282N35286,MELISSA,0,70
77,2019,2019-10-16 00:00:00+00:00,2019-10-29 00:00:00+00:00,"2019291N22264,2019299N25265","NESTOR,OLGA",1,28
78,2020,2020-05-13 00:00:00+00:00,2020-05-21 00:00:00+00:00,2020138N28281,ARTHUR,0,76
79,2020,2020-05-24 00:00:00+00:00,2020-05-31 00:00:00+00:00,2020148N32281,BERTHA,0,901
80,2020,2020-06-04 00:00:00+00:00,2020-06-11 00:00:00+00:00,2020154N19269,CRISTOBAL,0,126
81,2020,2020-07-02 00:00:00+00:00,2020-07-13 00:00:00+00:00,2020188N28271,FAY,0,54
82,2020,2020-07-29 00:00:00+00:00,2020-08-07 00:00:00+00:00,2020211N13306,ISAIAS,0,1380
83,2020,2020-08-11 00:00:00+00:00,2020-08-17 00:00:00+00:00,2020228N37286,KYLE,0,62
84,2020,2020-08-21 00:00:00+00:00,2020-09-04 00:00:00+00:00,"2020234N14280,2020244N30279","MARCO,OMAR",1,128
85,2020,2020-09-08 00:00:00+00:00,2020-09-28 00:00:00+00:00,"2020256N25281,2020261N21265","SALLY,BETA",1,8560
86,2020,2020-10-07 00:00:00+00:00,2020-10-14 00:00:00+00:00,2020279N16284,DELTA,0,240
87,2020,2020-10-25 00:00:00+00:00,2020-11-01 00:00:00+00:00,2020299N18277,ZETA,0,1094
88,2020,2020-11-05 00:00:00+00:00,2020-11-16 00:00:00+00:00,2020306N15288,ETA,0,3609
89,2021,2021-06-10 00:00:00+00:00,2021-06-24 00:00:00+00:00,"2021165N32282,2021169N23268","BILL,CLAUDETTE",1,127
90,2021,2021-06-25 00:00:00+00:00,2021-07-01 00:00:00+00:00,2021179N30287,DANNY,0,28
91,2021,2021-07-03 00:00:00+00:00,2021-07-12 00:00:00+00:00,2021182N09317,ELSA,0,200
92,2021,2021-08-13 00:00:00+00:00,2021-08-21 00:00:00+00:00,2021222N14301,FRED,0,131
93,2021,2021-08-26 00:00:00+00:00,2021-09-04 00:00:00+00:00,2021239N17281,IDA,0,315
94,2021,2021-09-05 00:00:00+00:00,2021-09-12 00:00:00+00:00,2021252N28273,MINDY,0,150
95,2021,2021-09-13 00:00:00+00:00,2021-09-20 00:00:00+00:00,2021259N30286,ODETTE,0,87
96,2021,2021-10-22 00:00:00+00:00,2021-10-29 00:00:00+00:00,2021299N33284,WANDA,0,18
97,2022,2022-06-01 00:00:00+00:00,2022-06-08 00:00:00+00:00,2022154N21273,ALEX,0,392
98,2022,2022-06-28 00:00:00+00:00,2022-07-05 00:00:00+00:00,2022183N32280,COLIN,0,38
99,2022,2022-09-24 00:00:00+00:00,2022-10-04 00:00:00+00:00,2022266N12294,IAN,0,48654
100,2022,2022-11-06 00:00:00+00:00,2022-11-14 00:00:00+00:00,2022311N21293,NICOLE,0,1671
101,2023,2023-08-27 00:00:00+00:00,2023-09-03 00:00:00+00:00,2023239N21274,IDALIA,0,5579
102,2023,2023-09-19 00:00:00+00:00,2023-09-27 00:00:00+00:00,2023265N29284,OPHELIA,0,154
103,2024,2024-08-01 00:00:00+00:00,2024-08-12 00:00:00+00:00,2024216N20284,DEBBY,0,2335
104,2024,2024-09-08 00:00:00+00:00,2024-09-19 00:00:00+00:00,"2024253N21266,2024259N31284","FRANCINE,UNNAMED",1,916
105,2024,2024-09-23 00:00:00+00:00,2024-09-30 00:00:00+00:00,2024268N17278,HELENE,0,55742
106,2024,2024-10-06 00:00:00+00:00,2024-10-13 00:00:00+00:00,2024279N21265,MILTON,0,21286
